assetCode,name,category,location,status,installDate,model,manufacturer,serialNumber,description
BC02120131,HC-Other-拉力机-BC02120131,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02050027,HC-79流水-四点气动压接机-BC02050027,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05000014,HC-机器压接处-半自动压接机-BC05000014,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02050050,HC-机器压接处-压接机YJ-38-BC02050050,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02001050,HC-前道-同轴剥线机-BC02001050,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05001022,HC-机器压接处-端子压接机YJ-46-BC05001022,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05000886,HC-前道-剥线机BX-01-BC05000886,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02140034,HC-Other-US2300剥线机-BC02140034,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02050032,HC-L-L-压接机-BC02050032,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0001,HC-C-C-焊台,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0002,HC-GJG8-A1-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0003,HC-GJG8-A2-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0004,HC-GJG8-A3-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0005,HC-GJG8-A4-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0006,HC-GJG8-A5-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0007,HC-GJG8-A6-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0008,HC-GJG8-A7-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0009,HC-GJG8-A8-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0010,HC-GJG8-A9-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0011,HC-GJG8-A10-机器压接模具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0012,HC-GJG5-B1-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0013,HC-GJG5-B2-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0014,HC-GJG5-B3-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0015,HC-GJG5-B4-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0016,HC-GJG5-B5-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0017,HC-GJG5-B6-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0018,HC-GJG5-B7-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0019,HC-GJG5-B8-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0020,HC-GJG5-B9-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0021,HC-GJG6-C1-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0022,HC-GJG6-C2-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0023,HC-GJG6-C3-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0024,HC-GJG6-C4-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0025,HC-GJG6-C5-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0026,HC-GJG6-C6-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0027,HC-GJG6-C7-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0028,HC-GJG6-C8-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0029,HC-GJG6-C9-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0030,HC-GJG7-D1-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0031,HC-GJG7-D2-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0032,HC-GJG7-D3-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0033,HC-GJG7-D4-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0034,HC-GJG7-D5-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0035,HC-GJG7-D6-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0036,HC-GJG7-D7-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0037,HC-GJG7-D8-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0038,HC-GJG7-D9-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0039,HC-GJG15-G1-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0040,HC-GJG15-G2-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0041,HC-GJG15-G3-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
HC0042,HC-GJG15-G4-手机压接工具,MECHANICAL,HC-Production,ACTIVE,,,,,
